what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898895490
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1588898900328
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898900512
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1588898900677
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898900877
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1588898901054
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898901245
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1588898901460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1588898903346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898903967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898917636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898918147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898920458
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898921741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1588898933877
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1588898934654
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.call.hierarchy",1588898935750
opened,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.callHierarchy",1588898936070
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.callHierarchy",1588898936185
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898936447
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1588898937423
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898937616
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898937897
activated,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.callHierarchy",1588898941897
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898941952
closed,view,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.callHierarchy",1588898941979
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898944279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898944895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898955849
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1588898957784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1588898959005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898959455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898989553
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588898992278
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1588898995234
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1588898995782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898996198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588898997040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588899001360
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899004796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1588899005636
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899005780
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899008309
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1588899011947
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899012092
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899012229
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1588899021011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899023461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899023941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899024014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899028500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899029419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588899056551
