what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1582970238201
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1582970238204
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1582970238205
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1582970238207
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1582970238208
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1582970238208
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1582970238209
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1582970238209
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1582970238210
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1582970238210
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1582970238210
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1582970238211
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1582970238211
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1582970238212
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1582970238212
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1582970238212
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1582970238212
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1582970238212
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1582970238213
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1582970238213
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1582970238214
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1582970238214
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1582970238215
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1582970238215
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1582970238216
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1582970238217
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1582970238218
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1582970238221
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1582970238225
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1582970238226
os,sysinfo,,,"win32",1582970238229
arch,sysinfo,,,"x86",1582970238229
ws,sysinfo,,,"win32",1582970238229
locale,sysinfo,,,"zh_CN",1582970238229
processors,sysinfo,,,"8",1582970238229
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1582970238229
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1582970238229
java.specification.name,sysinfo,,,"Java Platform API Specification",1582970238229
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1582970238229
java.specification.version,sysinfo,,,"1.6",1582970238229
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1582970238229
java.version,sysinfo,,,"1.6.0_23",1582970238229
java.vm.info,sysinfo,,,"mixed mode",1582970238229
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1582970238229
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1582970238229
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1582970238229
java.vm.specification.version,sysinfo,,,"1.0",1582970238229
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1582970238229
